date,salesTotal,CustNum,kankou,tabelog,day1_sales,day1_kankou,day1_tabelog,event_impact
2019-09-28,936850.0,353.0,4641.0,405.0,580750.0,3968.0,330.0,0.0
2019-09-29,780940.0,333.0,3968.0,342.0,936850.0,2328.0,405.0,0.0
2019-09-30,443190.0,186.0,2328.0,571.0,780940.0,2513.0,342.0,0.0
2019-10-01,426742.0,161.0,2513.0,446.0,443190.0,2244.0,571.0,0.0
2019-10-02,250450.0,95.0,2244.0,392.0,426742.0,1772.0,446.0,0.0
2019-10-03,397640.0,142.0,1772.0,309.0,250450.0,1883.0,392.0,0.0
2019-10-04,478600.0,181.0,1883.0,472.0,397640.0,6116.0,309.0,0.0
2019-10-05,663390.0,274.0,6116.0,398.0,478600.0,5450.0,472.0,0.0
2019-10-06,892360.0,374.0,5450.0,586.0,663390.0,2673.0,398.0,0.0
2019-10-07,534860.0,220.0,2673.0,574.0,892360.0,2446.0,586.0,0.0
2019-10-08,366940.0,145.0,2446.0,421.0,534860.0,2114.0,574.0,0.0
2019-10-09,495110.0,189.0,2114.0,766.0,366940.0,2025.0,421.0,0.0
2019-10-10,543190.0,196.0,2025.0,308.0,495110.0,2619.0,766.0,0.0
2019-10-11,322040.0,122.0,2619.0,388.0,543190.0,7429.0,308.0,-3.59
2019-10-12,0.0,0.0,7429.0,354.0,322040.0,5572.0,388.0,-22.25
2019-10-13,820190.0,332.0,5572.0,398.0,0.0,3699.0,354.0,0.0
2019-10-14,567380.0,222.0,3699.0,759.0,820190.0,1658.0,398.0,0.0
2019-10-15,371060.0,154.0,1658.0,526.0,567380.0,1702.0,759.0,0.0
2019-10-16,426490.0,172.0,1702.0,526.0,371060.0,1506.0,526.0,0.0
2019-10-17,373320.0,150.0,1506.0,526.0,426490.0,1928.0,526.0,0.0
2019-10-18,349900.0,127.0,1928.0,526.0,373320.0,4728.0,526.0,-3.59
2019-10-19,777640.0,317.0,4728.0,526.0,349900.0,9218.0,526.0,-3.59
2019-10-20,1145990.0,439.0,9218.0,526.0,777640.0,6031.0,526.0,0.0
2019-10-21,1084590.0,404.0,6031.0,526.0,1145990.0,4066.0,526.0,-3.59
2019-10-22,790130.0,296.0,4066.0,526.0,1084590.0,2844.0,526.0,-3.59
2019-10-23,504566.0,181.0,2844.0,526.0,790130.0,2709.0,526.0,0.0
2019-10-24,425040.0,170.0,2709.0,526.0,504566.0,2868.0,526.0,0.0
2019-10-25,641200.0,218.0,2868.0,526.0,425040.0,8089.0,526.0,-3.59
2019-10-26,933100.0,365.0,8089.0,689.0,641200.0,5361.0,526.0,0.0
2019-10-27,1034350.0,423.0,5361.0,901.0,933100.0,3389.0,689.0,0.0
2019-10-28,767702.0,305.0,3389.0,436.0,1034350.0,2862.0,901.0,0.0
2019-10-29,440800.0,163.0,2862.0,534.0,767702.0,2790.0,436.0,-3.59
2019-10-30,662934.0,279.0,2790.0,475.0,440800.0,2855.0,534.0,0.0
2019-10-31,524354.0,209.0,2855.0,560.0,662934.0,3871.0,475.0,0.0
2019-11-01,441380.0,171.0,3871.0,576.0,524354.0,10252.0,560.0,0.0
2019-11-02,1122232.0,454.0,10252.0,631.0,441380.0,10191.0,576.0,12.22
2019-11-03,1439200.0,552.0,10191.0,766.0,1122232.0,4078.0,631.0,12.22
2019-11-04,1008250.0,373.0,4078.0,689.0,1439200.0,1733.0,766.0,12.22
2019-11-05,534654.0,198.0,1733.0,455.0,1008250.0,2461.0,689.0,0.0
2019-11-06,460450.0,172.0,2461.0,491.0,534654.0,2064.0,455.0,0.0
2019-11-07,393610.0,149.0,2064.0,533.0,460450.0,2738.0,491.0,0.0
2019-11-08,519150.0,203.0,2738.0,419.0,393610.0,8065.0,533.0,0.0
2019-11-09,848222.0,334.0,8065.0,808.0,519150.0,4360.0,419.0,0.0
2019-11-10,953702.0,365.0,4360.0,669.0,848222.0,2136.0,808.0,0.0
2019-11-11,725494.0,250.0,2136.0,522.0,953702.0,1643.0,669.0,0.0
2019-11-12,467624.0,184.0,1643.0,401.0,725494.0,3136.0,522.0,0.0
2019-11-13,529902.0,207.0,3136.0,633.0,467624.0,2292.0,401.0,0.0
2019-11-14,412002.0,156.0,2292.0,353.0,529902.0,4258.0,633.0,0.0
2019-11-15,772382.0,262.0,4258.0,531.0,412002.0,9543.0,353.0,0.0
2019-11-16,944532.0,392.0,9543.0,573.0,772382.0,5788.0,531.0,0.0
2019-11-17,1076856.0,436.0,5788.0,708.0,944532.0,2647.0,573.0,0.0
2019-11-18,784508.0,281.0,2647.0,378.0,1076856.0,1759.0,708.0,0.0
2019-11-19,482470.0,163.0,1759.0,556.0,784508.0,1179.0,378.0,0.0
2019-11-20,767190.0,297.0,1179.0,573.0,482470.0,1605.0,556.0,0.0
2019-11-21,504336.0,185.0,1605.0,360.0,767190.0,3526.0,573.0,-6.23
2019-11-22,288070.0,113.0,3526.0,547.0,504336.0,7265.0,360.0,-6.23
2019-11-23,379832.0,156.0,7265.0,311.0,288070.0,4504.0,547.0,-6.23
2019-11-24,1241182.0,485.0,4504.0,630.0,379832.0,1846.0,311.0,0.0
2019-11-25,564950.0,250.0,1846.0,541.0,1241182.0,1985.0,630.0,0.0
2019-11-26,566150.0,209.0,1985.0,785.0,564950.0,1522.0,541.0,0.0
